"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C17","ReadsInPromoter",349,10601.7965616046,10344,6446.26387439879,1381.4,5672,15164,21945.6
"C18","ReadsInPromoter",718,5679.95543175487,5193.5,3413.38993301835,1006.65,3276,7505.25,11920.2
"C19","ReadsInPromoter",254,6665.76771653543,5228.5,5114.07687406969,861.95,3160.75,8721,17404.3
"C2","ReadsInPromoter",140,5448.82142857143,4673,3725.56437763617,1108.15,2752.25,7082.5,11504.8
"C20","ReadsInPromoter",1227,4545.19967400163,4156,2724.96797384234,961.2,2445,6215,9388.7
"C21","ReadsInPromoter",255,4566.8431372549,4221,2710.00436827777,874.9,2457.5,6355,8895.6
"C22","ReadsInPromoter",421,4573.82897862233,4277,2588.09304392547,972,2610,6142,9181
"C23","ReadsInPromoter",389,4382.83290488432,4206,2394.80794171002,1000,2466,5995,8455.8
"C3","ReadsInPromoter",2497,4657.7921505807,4138,3057.72064474774,927.4,2354,6320,10002
"C4","ReadsInPromoter",1157,5268.88331892826,5019,2980.94876318955,939.4,3227,6968,10334.8
"C5","ReadsInPromoter",5620,5919.12882562278,4608.5,4668.68672837494,958.95,2307.5,8293.75,15284.3
"C6","ReadsInPromoter",5952,4148.09206989247,3459,2969.92775880941,837.55,1840.75,5714.5,9712.45
"C7","ReadsInPromoter",1598,9021.60638297872,8197.5,5788.45657559062,1230.55,4658.75,12046.5,19728.35
"C8","ReadsInPromoter",1521,3837.94543063774,3308,2571.05186190895,823,1856,5286,8447
"C9","ReadsInPromoter",1854,8591.28263214671,7953,5434.47404627968,1353,4532.5,11624,18493.5
"C1","PromoterRatio",181,0.234033188134824,0.21488219504921,0.0859080648565912,0.130892712002167,0.167928938756428,0.268409736619826,0.424007880664227
"C10","PromoterRatio",33,0.25840331314749,0.252555384952841,0.0535875008982788,0.184537782985144,0.228547477518671,0.284912959381044,0.343531926769273
"C11","PromoterRatio",1257,0.267402372423335,0.25642043950225,0.0420693885919582,0.213152897544512,0.236619351478057,0.293871595330739,0.347531108000483
"C12","PromoterRatio",1848,0.26296704141084,0.248603660342638,0.0455709623150841,0.20873457055642,0.227783006362672,0.295555754573098,0.348049315245483
"C13","PromoterRatio",1792,0.277452591849963,0.264998205778437,0.0474317474257633,0.216175726051368,0.241885627992497,0.313791681404462,0.365476299654125
"C14","PromoterRatio",1226,0.282114314033616,0.271236280543539,0.0468480154778253,0.220842387261297,0.248705989345028,0.311334411902623,0.370239093536931
"C15","PromoterRatio",1345,0.287065167729403,0.273784631468897,0.0480655827079622,0.22594636166404,0.252304033296997,0.319056344480073,0.378535052270019
"C16","PromoterRatio",113,0.231694697998482,0.2224619810933,0.0437895781339508,0.178985423756909,0.197320877765048,0.262545605837547,0.306257309592063
"C17","PromoterRatio",349,0.212507008670988,0.20758556079281,0.0381885246703857,0.155282042936363,0.184506431565255,0.237009755126418,0.280235902227111
"C18","PromoterRatio",718,0.177727497204601,0.162282754666521,0.0413062146379375,0.13368502482294,0.147446049240518,0.203565988711381,0.259557865129776
"C19","PromoterRatio",254,0.208226796948001,0.195870440157886,0.0398821731420486,0.16026016098841,0.177970730928064,0.231855035716931,0.287098115510796
"C2","PromoterRatio",140,0.255399654896639,0.24758154617222,0.0346611204482588,0.215045229800789,0.231173470170566,0.268980620005349,0.332162257581902
"C20","PromoterRatio",1227,0.237217156908784,0.222467423287095,0.0456759844456813,0.187327221039045,0.205748862343416,0.257447062648423,0.331198952146754
"C21","PromoterRatio",255,0.237463219117467,0.225912709305517,0.0366160348702664,0.19749611671527,0.211328145212199,0.257010740811454,0.311553120573477
"C22","PromoterRatio",421,0.234990165737763,0.218429328037074,0.0457625684695412,0.182461797280247,0.199752080750841,0.274620434961018,0.319306930693069
