"config_id","cluster","n_cells","UMAP_1","UMAP_2"
"dims01_30_nn30_md08","C18",1357,1.48373246769757,0.262812041918146
"dims01_30_nn30_md08","C19",529,-0.0881108778097525,0.320391205964823
"dims01_30_nn30_md08","C2",1269,11.4573104305168,-5.61246883813449
"dims01_30_nn30_md08","C20",692,1.36047901952425,-1.30130578622994
"dims01_30_nn30_md08","C21",1679,4.17822808253597,-0.762432707695271
"dims01_30_nn30_md08","C3",1621,10.7294057114196,-5.12093358429188
"dims01_30_nn30_md08","C4",1376,4.22277753249594,8.8528671887652
"dims01_30_nn30_md08","C5",414,5.58500193781954,10.0805452031436
"dims01_30_nn30_md08","C6",256,6.00175280160339,8.96462663279247
"dims01_30_nn30_md08","C7",386,5.66432678941933,9.93355314433815
"dims01_30_nn30_md08","C8",113,3.51801811164553,6.13594832378986
"dims01_30_nn30_md08","C9",245,4.33104028144787,6.74758103385538
